100,13
200,54
300,109
400,222
500,229
600,497
700,635
800,750
900,944
1000,1155
1100,1514
1200,1706
1300,2062
1400,2417
1500,2717
1600,2875
1700,3502
1800,3879
1900,4121
2000,4567
2100,5045
2200,5402
2300,6110
2400,7387
2500,7092
2600,7826
2700,8147
2800,9137
2900,9509
